UCAV,GRMA,RHON,GR_RAB,BPHI,TNPH,RES_BD,P16B,A40B,VSH,VCO
8.671005,,1.402081,,,,0.2832057,,,,
8.791258,,1.385705,,,,0.2836373,,,,
9.234136,,1.358488,,,76.583,0.3495328,,,,
9.187814,,1.354235,,76.7572,73.069,0.4333472,,,,
8.867629,,1.368756,,,,0.49919,0.682845,,,
8.889997,,1.398667,,76.0455,74.5799,0.5165228,0.7316166,,,
8.868129,,1.439892,,74.2058,73.4775,0.6148863,0.761301,,,
8.916947,,1.494797,,70.6079,69.6173,0.588059,0.8044546,,,
8.958128,,1.537635,,65.5683,62.5157,0.505169,0.8447148,,,
9.044688,,1.582692,,62.6393,59.6429,0.6244115,0.9109544,,,
9.426934,,1.609184,,67.6515,70.6774,0.7234258,0.9784994,,,
9.225904,,1.626296,,63.6945,63.7933,0.7104686,1.016009,,,
9.189378,,1.62507,,60.313,57.6844,0.7089053,1.029492,1.000243,,
9.23678,,1.64945,,57.9335,54.8264,0.6880338,1.08639,1.060829,,
9.16474,,1.655208,,61.3295,60.9329,0.7571719,1.097134,1.102087,,
9.123997,,1.659536,,57.5643,54.6625,1.005667,1.135802,1.144138,,
9.10693,30.07907,1.651868,54.03304,62.9634,63.7914,0.8442293,1.15763,1.169572,,
9.028781,,1.64136,55.68003,60.0642,58.0242,1.040405,1.140269,1.192052,,
9.231653,30.75256,1.625059,53.83216,62.4901,61.5019,1.112646,1.100309,1.199896,,
9.121852,32.90813,1.617731,51.67237,64.4231,64.7078,1.124729,1.055069,1.202427,,
8.869075,34.02897,1.601983,,60.3118,56.6177,0.8452424,0.9615031,1.225926,,
9.077502,34.01731,1.597065,,63.1684,61.2927,0.9603981,0.946778,1.242254,,
9.151563,33.31009,1.583696,,62.8414,60.0435,1.201606,0.9648978,1.239831,,
9.178906,35.14579,1.588094,,63.4005,61.2498,1.346296,1.013121,1.237882,,
9.13648,35.81449,1.621074,,65.6361,67.2659,1.002881,1.045869,1.25033,,
